time,lat,lon,altitude,tas
1599767183,35,-100,4750,150
1599767184,35.00093,-100,4771.255,150.202
1599767185,35.00186,-100,4792.51,150.404
1599767186,35.00279,-100,4813.765,150.606
1599767187,35.00372,-100,4835.02,150.808
1599767188,35.00465,-100,4856.275,151.01
1599767189,35.00558,-100,4877.53,151.212
1599767190,35.00651,-100,4898.785,151.414
1599767191,35.00744,-100,4920.04,151.616
1599767192,35.00837,-100,4941.295,151.818
1599767193,35.0093,-100,4962.55,152.02
1599767194,35.01023,-100,4983.805,152.222
1599767195,35.01116,-100,5005.06,152.424
1599767196,35.01209,-100,5026.315,152.626
1599767197,35.01302,-100,5047.57,152.828
1599767198,35.01395,-100,5068.825,153.03
1599767199,35.01488,-100,5090.08,153.232
1599767200,35.01581,-100,5111.335,153.434
1599767201,35.01674,-100,5132.59,153.636
1599767202,35.01767,-100,5153.845,153.838
1599767203,35.0186,-100,5175.1,154.04
1599767204,35.01953,-100,5196.355,154.242
1599767205,35.02046,-100,5217.61,154.444
1599767206,35.02139,-100,5238.865,154.646
1599767207,35.02232,-100,5260.12,154.848
1599767208,35.02325,-100,5281.375,155.05
1599767209,35.02418,-100,5302.63,155.252
1599767210,35.02511,-100,5323.885,155.454
1599767211,35.02604,-100,5345.14,155.656
1599767212,35.02697,-100,5366.395,155.858
1599767213,35.0279,-100,5387.65,156.06
1599767214,35.02883,-100,5408.905,156.262
1599767215,35.02976,-100,5430.16,156.464
1599767216,35.03069,-100,5451.415,156.666
1599767217,35.03162,-100,5472.67,156.868
1599767218,35.03255,-100,5493.925,157.07
1599767219,35.03348,-100,5515.18,157.272
1599767220,35.03441,-100,5536.435,157.474
1599767221,35.03534,-100,5557.69,157.676
1599767222,35.03627,-100,5578.945,157.878
1599767223,35.0372,-100,5600.2,158.08
1599767224,35.03813,-100,5621.455,158.282
1599767225,35.03906,-100,5642.71,158.484
1599767226,35.03999,-100,5663.965,158.686
1599767227,35.04092,-100,5685.22,158.888
1599767228,35.04185,-100,5706.475,159.09
1599767229,35.04278,-100,5727.73,159.292
1599767230,35.04371,-100,5748.985,159.494
1599767231,35.04464,-100,5770.24,159.696
1599767232,35.04557,-100,5791.495,159.898
1599767233,35.0465,-100,5812.75,160.1
1599767234,35.04743,-100,5834.005,160.302
1599767235,35.04836,-100,5855.26,160.504
1599767236,35.04929,-100,5876.515,160.706
1599767237,35.05022,-100,5897.77,160.908
1599767238,35.05115,-100,5919.025,161.11
1599767239,35.05208,-100,5940.28,161.312
1599767240,35.05301,-100,5961.535,161.514
1599767241,35.05394,-100,5982.79,161.716
1599767242,35.05487,-100,6004.045,161.918
1599767243,35.0558,-100,6025.3,162.12
1599767244,35.05673,-100,6046.555,162.322
1599767245,35.05766,-100,6067.81,162.524
1599767246,35.05859,-100,6089.065,162.726
1599767247,35.05952,-100,6110.32,162.928
1599767248,35.06045,-100,6131.575,163.13
1599767249,35.06138,-100,6152.83,163.332
1599767250,35.06231,-100,6174.085,163.534
1599767251,35.06324,-100,6195.34,163.736
1599767252,35.06417,-100,6216.595,163.938
1599767253,35.0651,-100,6237.85,164.14
1599767254,35.06603,-100,6259.105,164.342
1599767255,35.06696,-100,6280.36,164.544
1599767256,35.06789,-100,6301.615,164.746
1599767257,35.06882,-100,6322.87,164.948
1599767258,35.06975,-100,6344.125,165.15
1599767259,35.07068,-100,6365.38,165.352
1599767260,35.07161,-100,6386.635,165.554
1599767261,35.07254,-100,6407.89,165.756
1599767262,35.07347,-100,6429.145,165.958
1599767263,35.0744,-100,6450.4,166.16
1599767264,35.07533,-100,6471.655,166.362
1599767265,35.07626,-100,6492.91,166.564
1599767266,35.07719,-100,6514.165,166.766
1599767267,35.07812,-100,6535.42,166.968
1599767268,35.07905,-100,6556.675,167.17
1599767269,35.07998,-100,6577.93,167.372
1599767270,35.08091,-100,6599.185,167.574
1599767271,35.08184,-100,6620.44,167.776
1599767272,35.08277,-100,6641.695,167.978
1599767273,35.0837,-100,6662.95,168.18
1599767274,35.08463,-100,6684.205,168.382
1599767275,35.08556,-100,6705.46,168.584
1599767276,35.08649,-100,6726.715,168.786
1599767277,35.08742,-100,6747.97,168.988
1599767278,35.08835,-100,6769.225,169.19
1599767279,35.08928,-100,6790.48,169.392
1599767280,35.09021,-100,6811.735,169.594
1599767281,35.09114,-100,6832.99,169.796
1599767282,35.09207,-100,6854.245,169.998
1599767283,35.093,-100,6875.5,170.2
1599767284,35.09393,-100,6896.755,170.402
1599767285,35.09486,-100,6918.01,170.604
1599767286,35.09579,-100,6939.265,170.806
1599767287,35.09672,-100,6960.52,171.008
1599767288,35.09765,-100,6981.775,171.21
1599767289,35.09858,-100,7003.03,171.412
1599767290,35.09951,-100,7024.285,171.614
1599767291,35.10044,-100,7045.54,171.816
1599767292,35.10137,-100,7066.795,172.018
1599767293,35.1023,-100,7088.05,172.22
1599767294,35.10323,-100,7109.305,172.422
1599767295,35.10416,-100,7130.56,172.624
1599767296,35.10509,-100,7151.815,172.826
1599767297,35.10602,-100,7173.07,173.028
1599767298,35.10695,-100,7194.325,173.23
1599767299,35.10788,-100,7215.58,173.432
1599767300,35.10881,-100,7236.835,173.634
1599767301,35.10974,-100,7258.09,173.836
1599767302,35.11067,-100,7279.345,174.038
1599767303,35.1116,-100,7300.6,174.24
1599767304,35.11253,-100,7321.855,174.442
1599767305,35.11346,-100,7343.11,174.644
1599767306,35.11439,-100,7364.365,174.846
1599767307,35.11532,-100,7385.62,175.048
1599767308,35.11625,-100,7406.875,175.25
1599767309,35.11718,-100,7428.13,175.452
1599767310,35.11811,-100,7449.385,175.654
